_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,03 9874 6010,,"534 Whitehorse Rd,Mitcham, VIC 3132",Beauty & Skin,7821,lisa Hair Sense,03 9874 6010,"<p class=""details"">头发、皮肤护理、按摩、永久性除毛、接发、接眼睫毛、化妆、半永久性化妆。<br>
本店全部美发及美容师均拥有10年以上从业经验。<br><br></p>"
,,,0452 188 003,http://www.madameluxe.com.au,"6 Heads Rd,Doncaster, VIC 3108",Beauty & Skin,7822,MADAME LUXE,0452 188 003,"<p class=""details"">墨尔本最好的美容大师，今天就预约，使您美貌惊人。<br>
眉毛修饰，唇线，眼线，美国培训，22年经验。<br><br></p>"
,,,0431 278 866 / 03 9560 2826,,"1 pryde court,Wheelers Hill, VIC 3150",Beauty & Skin,7825,MIZU 美容休闲生活馆,0431 278 866 / 03 9560 2826,"<p class=""details"">mizu芳香疗法：乳房保养、卵巢保养、面部刮痧、美容、美体、美发、按摩、足疗、瑜伽。<br><br></p>"
,,,0422 300 868,,"Melbourne, VIC 3000",Beauty & Skin,8224,美容美发,0422 300 868,"<p class=""details"">18年专业美容美体经验。<br>
专业纹眉，纹眼线，纹唇等。眉形设计，发型挑染设计，皮肤护理、治疗。新娘妆，PARTY妆，美甲。<br><br></p>"
,,,0423 083 538,,"4/40 Northcote Avenue,Balwyn, VIC 3103",Beauty & Skin,8311,妃琳美容工作室,0423 083 538,"<p class=""details"">欢迎您来到妃林美容工作室！全部由食材和中药材调配而成的美白面膜，数以千记的成功美白体验，这儿没有昂贵的美容消费，没有挥之不去的产品促销，只有对您的呵护，美白的保证！<br>
首次免费体验项目：<br>
1、美白祛斑面膜体验<br>
2、身体按摩（胳膊按摩或腿部按摩）<br>
产品介绍：由纯天然爱食材和秘方中药材研磨粉调配，无任何化学添加剂，能安全有效改善肤色，靓白醒肤。<br><br></p>"
,,,03 9877 3232,,"shop 1 119A Surrey Road,Blackburn, VIC 3130",Beauty & Skin,8310,Arrose Hair,03 9877 3232,"<p class=""details"">韩国专业美发师，引领时尚潮流。<br><br></p>"
,,,03 9899 5591,http://www.bhcshop.com.au,"1/19 Ellingworth Parade,Box Hill, VIC 3128",Beauty & Skin,7942,安泰美容,03 9899 5591,"<p class=""details"">不打针，不动刀，不吃药，轻轻松松就和面部皱纹，眼纹，法令纹，颈纹，黑眼圈等说BYEBYE。让你美丽充满自信，年轻与活力绽放光芒。<br>
你的满意，是我的承诺！<br><br></p>"
Lebeau,support@bestong.com.au,,03 9600-1955,http://Http://www.lebeaumonde.com.au,"1\60 hardware lane Melbourne city, Melbourne, VIC 3000",Beauty & Skin,10307,Le Beau monde,03 9600-1955,"<p class=""details"">坐落在墨尔本市中心与墨尔本市五星级渡假酒店合作多年的 Day spa （健身，形成独特设计）<br>
健身，养颜美容，形象设计<br>
Brazilian waxing <br>
瘦身按摩，淋巴排毒养颜，健体健身Packages<br>
香薰疗法<br>
拔罐，学穴疗法<br>
Open 7 days<br>
039600-1955 ,0421069365<br>
1\60 hardware Lane Melbourne CBD<br>
Http://www.lebeaumonde.com.au<br><br></p>"
,judy.zh815@gmail.com,,0406 600 166,,"Yerrin St,Balwyn, VIC 3103",Beauty & Skin,8563,Judy紋繡工作室,0406 600 166,"<p class=""details"">1、三维立体绣眉<br>
2、纹眼线 绣内眼线<br>
3、水晶漂唇 纹唇线<br>
中国第一带纹绣师，19年纹绣工作经验，从事10年纹绣教学工作，为数千名顾客纹绣服务，获PCD国际纹绣组织顶级纹绣师称号，多次被美容美发大赛聘问纹绣组评判长。<br><br></p>"
We Drink Love,support@bestong.com.au,,0296242095,http://www.wedrinklove.com/zh/,"2/19 Victoria Avenue, Castle Hill, Castle Hill, NSW 2154",Beauty & Skin,10024,We Drink Love:  澳洲保健品 澳洲健康食品 澳洲保健食品,0296242095,"<p class=""details"">we drink LOVE对饮食重新诠释，相信食物是上帝所赐之物，摄取天然的食物才让身体变得更加完整。我们尊重农民、保护农田，为顾客提供最优质的食材。我们所做的一切始于爱心、终于L.O.V.E。<br>
L.O.V.E自成立起就未曾走过捷径：只提供经有机认证的超级食品；舍弃刻意减重的方式，选择养生；不与农民讨价还价，追求互惠互利。L.O.V.E的合作供应商必须以合理价格与农民交易，并保护他们赖以为生的土地。参与生产过程的所有人以爱心成就了真正的L.O.V.E。爱心是产品的核心价值，也是L.O.V.E的信念，我们引以为豪。因为若无爱心，即使一应俱全，都是竹篮打水。就算面临牺牲与困难，爱永远是胜利者。<br><br></p>"
,info@wedrinklove.com,,02 9624 2095,http://www.wedrinklove.com/zh/,"2/19 Victoria Avenue, Castle Hill NSW 2154",Beauty & Skin,10257,We Drink Love,02 9624 2095,"<p class=""details"">L.O.V.E的超级食品与众不同。<br>
即使超级食品抗氧化成分再多，若在身体吸收前，营养成分就被破坏，那就起不到任何效果。<br>
L.O.V.E是富含生酵母的生食（Raw food），并采用最尖端加工技术和包装技术，最大限度的保留食物营养，L.O.V.E充满活力。<br><br></p>"
Admin,no.9healthylife@gmail.com,No9HealthyLife,03 8806 3245,http://www.9healthylife.com.au,"9 Jennifer Court, Mount waverley",Beauty & Skin,9184,中经堂9号健康养生会所,03 8806 3245,"<p class=""details""><img src=""Photo_links/Melbourne/9184.PNG"" class=""logo"" width=""105"" alt=""中经堂9号健康养生会所 Company Logo"">中经堂•9号健康养生會馆，拥有一支由有20多年实践经验的中医养生保健师、澳洲注册理疗师及高级美容师组成的专业团队。<br>
我们将用我们专业的知识，配合独特的手法，为您的身体进行由内而外、由表及里的全方位调理。身体才是您最高明的医生，您会惊叹于身体的神奇，不需要服用任何药物就可以让您重新拥有健康的身体、愉悦的心情，更好地享受当下的生活！<br>
<br>
                          身体调理及养生项目<br>
           通经药浴-------纯中药制剂，一人一药方！<br>
         此项目需提前预约，经本堂中医诊断后方可。<br>
<br>
    全身经络疏通------由二十年临床工作经验中医师调理。<br>
<br>
    全身淋巴排毒------使用澳洲Perfect Posion有机香薰精油。<br>
<br>
    乳腺疏通-------由中医师配合药泥灸及特制精油双向调理。<br>
<br>
    卵巢保养-------由中医师配合药泥灸及艾灸双向调理。<br>
<br>
                               艾灸类<br>
<br>
本堂采用7年精选金艾绒及特制灸盒--补足阳气，驱走严寒。您不必担心灸后上火，也不必担心烫伤。<br>
我们经过多年临床经验，根据您身体不同需求来实施艾灸。<br>
特制专业吸出灸烟仪器让您不必忍受“烟熏火燎”。<br>
<br>
  艾灸范围：<br>
亚健康调理灸<br>
内分泌失调灸<br>
失眠减压灸<br>
颈肩调理灸<br>
养胃健脾灸<br>
卵巢保养灸<br>
暖宫养血灸<br>
肾部保养灸<br>
前列腺保养灸<br>
暗疮排毒养颜灸<br>
扶阳灸<br>
<br>
时间范围：30-80分钟<br>
<br>
<br>
9号养生另聘请澳洲注册理疗师为您减轻肌肉及关节问题。<br>
（规定项目可支持私人保险报销）<br>
<br>
                                中医养生项目<br>
<br>
                          由9号中医师亲自调理。<br>
<br>
 [独家项目]<br>
古法宗筋推拿术<br>
根骶能量调理法<br>
主要适合人群：亚健康状态，内分泌失调，慢性病自愈。<br>
<br>
辅助调理项目<br>
砭石疗法<br>
群罐排毒<br>
足部养生<br>
<br>
                                 皮肤治疗及养护<br>
<br>
[德国药妆]-----------角质层修复治疗<br>
Dermaviduals 德研思<br>
德妍思dermaviduals全系列產品不添加防腐劑、香料、礦物油、乳化劑、色素、矽化物及動物性胺類，成功於 2002 年製造出與人體角質層保護膜相容之物質Lamellar Body(板層小體)修護基礎乳---可補充並填補修護，因化妝、紫外線、雷射、脈衝光、果酸換膚後、或使用含有破壞角質層添加物的保養品所造成肌膚受損，Lamellar Body修護基礎乳能使皮膚角質層再生，以高壓低溫均質化原理專利製造，取代大多數護膚產品需使用傷害角質層的乳化劑，安全無添加的Lamellar Body(板層小體)修護基礎乳與人體肌膚角質層主要成份幾近相同，且片狀紋理結構相似，因此可完整修補受損肌膚，為長效保濕乳液中最佳的選擇。<br>
<br>
[美国无针微针技术]<br>
美国Carboderm是一个创新的皮肤护理系统你可以享受没有针头的羧基疗法的好处。它通过凝胶层产生的二氧化碳结合面膜贴,将其转移到皮肤细胞。<br>
<br>
主要成分：玻尿酸，类肉毒素，芦荟精华，维生素C。<br>
主要功能：<br>
击退脂肪Cellulite Reduction<br>
美白Whitening<br>
保湿Moisturizing<br>
击退皱纹Wrinkle Reduction<br>
暗疮/粉刺/痘疤Treatment of Acne / Acne Scars<br>
击退妊娠纹/肥胖纹Reduction of Stretch Marks<br>
<br>
<br>
[日本贵妇级护肤品Pola]<br>
Pola目前的火爆程度不用过多介绍。<br>
专利及顶级奢华抗衰系列BA Black----使用后永不后悔。<br>
9号全部使用日本原装进行日常面部护理项目。<br>
2年内客人满意率100%。<br>
Pola全线产品有售~！VIP可享受10%Off.<br>
<br>
9号同时提供免费皮肤分析<br>
<br>
您想更多的了解您的皮肤或者想知道究竟哪种护肤品才适合自己的话，可以拨打咨询热线03 8806 3245或者0451 575 699。也可以加入9号咨询微信号：No9HealthyLife<br>
<br>
会所地址：9 Jennifer Court,Mount Waverley 3149<br>
<br>
 请一定一定提前电话预约哦~！~！~！~！<br><br></p>"
,mtwaverley@skintechskin.com.au,微信：Skintech Mount Waverly,03 9803 0936,http://skintechskin.com.au,"Pinewood Shopping Centre, Shop 7, 407 Blackburn Rd, Mount Waverley VIC 3149",Beauty & Skin,9299,墨尔本美肤 Skintech Mount Waverley 皮肤医美诊所,03 9803 0936,"<p class=""details""><img src=""Photo_links/Melbourne/9299.jpg"" class=""logo"" width=""105"" alt=""墨尔本美肤 Skintech Mount Waverley 皮肤医美诊所 Company Logo"">Skintech Mount Waverley 皮肤医美诊所<br>
<br>
墨尔本权威医美皮肤诊所Skintech， 我们专注于医疗皮肤美容 ——— 首家专为华人服务的医疗机构。团队由一队经验丰富的澳洲注册医美医生，专业护士顾问和定期接受培训和严格考核的皮肤治疗师组成，为您的肌肤量身打造专署的医美计划。<br>
<br>
Skintech Mount Waverley医美诊所位于繁华的Pinewood Shopping Center, 靠近Blackburn Road和Pinewood Drive交界，为您提供安全而高效的无创微塑和激光美容服务。本诊所最知名为它的斑，孔，痘专业医学治疗（色素沉着，毛孔和暗疮粉刺还原处理），以及其他主要服务项目如：<br>
<br>
-肉毒杆菌注射（瘦脸，川字纹，抬头纹，眼尾纹，鼻翼纹）<br>
-波尿酸注射 （水光针卧蚕，额头，苹果肌，太阳穴，眉骨，鼻子，下巴，嘴唇，黑眼圈/泪窝，法令纹）*Skintech医美诊所提供专业的微整形注射，操作医生经过了专业的注射培训，拥有三十年的从业经验，手术精准，效果完美。*<br>
-激光永久性脱毛 (Laser Hair Removal)<br>
-激光美容（祛除黄褐斑，痘痘肌，痘印，脸部去红，雀斑，粗大毛孔，激光换肤）<br>
-射频微针Fractional RF (点阵射频微针技术，有效治疗痘痘肌和痘坑)<br>
-LED 光谱美容 （恢复伤口痊愈，美白亮肤，治疗痘痘 (深层清除产生痘痘的细菌P.Acne), 医学级别LED仪器）<br>
-埋线提升瘦脸<br>
-4D无痛镭射瘦脸<br>
-高瑞血小板字体因子PRP注射祛皱（眼部，脸部，胸前，手部，上臂，腹部）<br>
-非手术性溶脂塑身 (Lipolysis)<br>
-微针 (Skin Needling)<br>
-换肤 (Peel)<br>
-治疗性Facial (祛痘/痘印，控油，控制暗疮粉刺，延缓衰老，淡化细纹/斑点)<br>
-容亮电离子除斑 (Lamprobe)<br>
－独家生发治疗 （Hair Regrowth Program）<br>
-医学护肤美容产品代理 (例如：美国DRBC，美国C’ENSIL，韩国CU SKIN)<br>
<br>
<br>
在Skintech我们使用安全和认证的机械设备，力求提供最好及最专业的技术为客户打造完美的医疗计划，让您体验到最完美的医学美容服务。本诊所也为尊敬的客户提供免费咨询，以便客户了解自己的皮肤状况, 从而跟进治疗皮肤。<br>
<br>
Skintech Mount Waverley医美诊所的专业医生，护士和皮肤治疗师在此欢迎您的光临。如有任何疑问可随时微信或电话咨询我们。本诊也欢迎您加入我们以下的社交门户, 定时更新最新的微整形资讯和医学护肤品信息。欢迎您多多关注！<br>
<br>
微信公众平台：skintechskin<br>
微信：Skintech Mount Waverly<br>
微博：skintech<br>
Facebook: Skintech Cosmetic Skin &amp; Laser Clinic<br>
<br>
<br>
营业时间：<br>
星期一	10:00-18:00<br>
星期二	10:00-18:00<br>
星期三	10:00-18:00<br>
星期四	10:00-21:00<br>
星期五?	10:00-18:00<br>
星期六	09:00-17:00<br>
星期日	休息天<br>
<br>
联系方式：<br>
电话：(03) 9803 0936<br>
传真：-<br>
联络：-<br>
地址：Pinewood Shopping Centre, Shop 7, 407 Blackburn Rd, Mount Waverley VIC 3149<br>
邮件：mtwaverley@skintechskin.com.au<br>
网站：skintechskin.com.au<br><br></p>"
,admin@miricos.com.au,微信：meechellau,0399137362,http://www.miricos.com.au,"Level 2, 340 Collins st, Melbourne, Melbourne, VIC 3000",Beauty & Skin,10047,MAC医美皮肤诊所 Miricos Aesthetics Clinic,0399137362,"<p class=""details""><img src=""Photo_links/Melbourne/10047.jpg"" class=""logo"" width=""105"" alt=""MAC医美皮肤诊所 Miricos Aesthetics Clinic Company Logo"">Miricos Aesthetics Clinic (MAC) 是墨尔本专业可靠的医美皮肤诊所，位于市中心Collins Street核心地段，提供一站式，量身订造的注射美容或皮肤治疗服务。我们会根据您的脸型和皮肤状况，以我们独到的亚洲审美理念，为您制定合适的医美治疗方案。我们专业的医生护士团队都是经过澳洲本地严格培训，拥有澳洲注射资格和多项注射美容和激光美容证书。我们会细致呵护你的肌肤，让您的美丽恰到好处，获取自然美丽的钥匙。<br>
<br>
1. 肉毒注射（瘦脸, 瘦腿, 川字纹, 抬头纹, 眼尾纹, 鼻翼纹）<br>
<br>
2. 玻尿酸注射（水光针, 卧蚕, 额头, 苹果肌, 太阳穴, 眉骨, 鼻子, 下巴, 嘴唇, 黑眼圈/泪窝, 法令纹)<br>
<br>
3. 美国原版超声刀 Ultherapy （极线音波提拉，唯一TGA和FDA认可的无创脸部提升）<br>
<br>
4. 激光美容（黄褐斑, 痘痘肌,痘印,脸部去红,雀斑,粗大毛孔,激光焕肤(白瓷娃娃，黑脸娃娃)，医学级别激光仪器，TGA和FDA认可）<br>
<br>
5. 黄金射频微针 Fractional RF (点阵射频微针技术，有效治疗痘痘肌和痘坑，医学级别射频仪器，TGA和FDA认可)<br>
<br>
6. LED 光谱美容 （恢复伤口痊愈，美白亮肤，治疗痘痘 (深层清除产生痘痘的细菌 P.Acne), 医学级别LED仪器，TGA和FDA认可）<br>
<br>
7. 高端血小板自体因子Angel PRP注射祛皱（眼部，脸部，胸前，手部，上臂，腹部（妊娠纹）<br>
<br>
8. 各种面部护理：治疗性（祛痘/痘印，控油，控制暗疮粉刺，延缓衰老，淡化细纹/斑点）；美容性（深度补水，美白亮肤，维他命精华导入，去角质，去黑头，白头，肌肤修复）<br>
<br>
9. 英国Medik8 和 澳洲Synergie 医学护肤品配合各种皮肤治疗和日常护理。<br><br></p>"
Annabelle Li,annabelle@annajo.com.au,,03 9890 9888,,"4/38 Prospect Street, Box Hill, VIC 3128",Beauty & Skin,9969,AnnaJo医学美容中心,03 9890 9888,"<p class=""details"">美丽是永恒不变的经典主题～<br>
在Anna Jo，我们帮你变得完美！<br>
针对斑点，皱纹，缺水等常见皮肤问题Anna Jo特推四款美丽套餐任你选择，价格令人心动，效果更是会让你惊奇哦！<br><br></p>"
,dandenong@skintechskin.com.au,微信：Skintech Dandenong,03 9701 7288,http://skintechskin.com.au,"56-58 Stud Road, Dandenong Victoria 3175",Beauty & Skin,9294,墨尔本美肤 Skintech Dandenong 皮肤医美诊所,03 9701 7288,"<p class=""details""><img src=""Photo_links/Melbourne/9294_V1.jpg"" class=""logo"" width=""105"" alt=""墨尔本美肤 Skintech Dandenong 皮肤医美诊所 Company Logo"">Skintech Dandenong 皮肤医美诊所<br>
<br>
墨尔本权威医美皮肤诊所Skintech， 我们专注于医疗皮肤美容 ——— 首家专为华人服务的医疗机构。团队由一队经验丰富的澳洲注册医美医生，专业护士顾问和定期接受培训和严格考核的皮肤治疗师组成，为您的肌肤量身打造专署的医美计划。<br>
<br>
Skintech Dandenong医美诊所位于Stud Road和Ann Street交界, 为您提供安全而高效的无创微塑和激光美容服务。本诊所最知名为它的斑，孔，痘专业皮肤治疗（色素沉着，毛孔和暗疮粉刺还原处理），以及其他主要服务项目如：<br>
<br>
-肉毒杆菌注射（瘦脸，川字纹，抬头纹，眼尾纹，鼻翼纹）<br>
-波尿酸注射 （水光针卧蚕，额头，苹果肌，太阳穴，眉骨，鼻子，下巴，嘴唇，黑眼圈/泪窝，法令纹）*Skintech医美诊所提供专业的微整形注射，操作医生经过了专业的注射培训，拥有三十年的从业经验，手术精准，效果完美。*<br>
-激光永久性脱毛 (Laser Hair Removal)<br>
-激光美容（祛除黄褐斑，痘痘肌，痘印，脸部去红，雀斑，粗大毛孔，激光换肤）<br>
-射频微针Fractional RF (点阵射频微针技术，有效治疗痘痘肌和痘坑)<br>
-LED 光谱美容 （恢复伤口痊愈，美白亮肤，治疗痘痘 (深层清除产生痘痘的细菌P.Acne), 医学级别LED仪器）<br>
-埋线提升瘦脸<br>
-4D无痛镭射瘦脸<br>
-高瑞血小板字体因子PRP注射祛皱（眼部，脸部，胸前，手部，上臂，腹部）<br>
-非手术性溶脂塑身 (Lipolysis)<br>
-微针 (Skin Needling)<br>
-换肤 (Peel)<br>
-治疗性Facial (祛痘/痘印，控油，控制暗疮粉刺，延缓衰老，淡化细纹/斑点)<br>
-容亮电离子除斑  (Lamprobe)<br>
－独家生发治疗 （Hair Regrowth Program）<br>
-医学护肤美容产品代理 (例如：美国DRBC,，美国C’ENSIL，韩国CU SKIN)<br>
<br>
<br>
在Skintech我们使用安全和认证的机械设备，力求提供最好及最专业的技术为客户打造完美的医疗计划，让您体验到最完美的医学美容服务。本诊所也为尊敬的客户提供免费咨询，以便客户了解自己的皮肤状况, 从而跟进治疗皮肤。<br>
<br>
Skintech Dandenong医美诊所的专业医生，护士和皮肤治疗师在此欢迎您的光临。如有任何疑问可随时微信或电话咨询我们。本诊也欢迎您加入我们以下的社交门户, 定时更新最新的微整形资讯和医学护肤品信息。欢迎您多多关注！<br>
微信公众平台：skintechskin<br>
微博：skintech<br>
Facebook: Skintech Cosmetic Skin &amp; Laser Clinic<br>
 <br>
<br>
营业时间：<br>
星期一 至 星期五： 10:00-18:00<br>
星期六：		 09:00-17:00,<br>
星期日： 		 休息天<br>
<br>
联系方式：<br>
电话：(03)9701 7288<br>
传真：-<br>
联络：-<br>
地址：1st Floor, Dandenong Superclinic Building, 56-58 Stud Road, Dandenong, Victoria 3175<br>
邮件：dandenong@skintechskin.com.au<br>
网站：skintechskin.com.au<br><br></p>"
,info@estclinic.com.au,EPS-EST,98905222,http://www.estclinic.com.au,"303, 116-118 Thames Street, Box Hill 3128, Box Hill, VIC 3128",Beauty & Skin,9391,墨尔本医学美肤中心 Eastern Skin Therapy,98905222,"<p class=""details""><img src=""Photo_links/Melbourne/9391.png"" class=""logo"" width=""105"" alt=""墨尔本医学美肤中心 Eastern Skin Therapy Company Logo"">墨尔本医学美肤中心 (隶属于墨尔本整形外科中心) 是一所旨在为每位客户量身定制智能护肤服务和高级皮肤治疗方案的一站式美容美肤中心。我们会根据每位客人的肤类型和生活方式制定最适合的临床治疗和居家护理方案。<br>
<br>
服务项目：<br>
<br>
1. 微整形：微创注射美容是对您的五官及脸部进行细微雕琢，包括小缺陷的弥补，皮肤的改善，整体的年轻化。注射美容不用手术，不用漫长的恢复期，安全性高，便捷快速。本中心所有注射美容项目均由林纲明整形外科专科医生和专业注射师亲自注射，可为您提供最安全，舒适，有效的专科治疗。明星项目包括：<br>
－注射微整：瘦脸、隆鼻、苹果肌、丰颊、丰额、丰唇、丰下巴、太阳穴，提眉，提口角等<br>
－注射去皱：抬头纹、眉间纹、鱼尾纹、法令纹，唇纹，嘴角纹、笑纹等<br>
－注射填充：泪槽、唇线再造、耳垂等<br>
－其它部位：颈部、前胸、手部、腿部等<br>
<br>
2. 祛痘祛疤：粉刺痘痘的致病因素较为复杂，而传统单一的治疗方式又无法达到彻底治愈的效果。在墨尔本医学美肤中心，我们采用综合方案来治痘治疤，汇集了LED光疗、Spectra XT调Q激光、微针理疗和抗痘医美护肤品等顶级设备产品，可针对具体的致病原因给予针对性的治疗方案。<br>
<br>
3. 祛斑美白：色斑往往由黑色素沉淀而成。由于斑点存在于皮肤的位置深浅不一，传统祛斑方式，往往只能作用到皮肤浅层。墨尔本医学美肤中心所引进的国际最先进的祛斑药妆产品和医疗仪器（Spectra XT调Q激光、Healite II LED光疗等）可根据症状自主配搭治疗，定制最适合亚洲皮肤的祛斑美白方案。<br>
<br>
4. 除皱嫩肤：无论是毛孔突显、皮肤松弛下垂还是皮肤暗淡、墨尔本医美中心的美容护士和专业皮肤医师都可以通过无创性皮肤医疗技术帮助修复受损皮肤层，提高肌肤抵抗力，促进新陈代谢，减缓皮肤老化。<br>
<br>
诊所地址：<br>
<br>
墨尔本医学美肤中心的设计宗旨是为客户提供安全与舒适的环境。您的隐私和感受是我们的首要考虑：所有护肤治疗都将在符合医疗安全标准的单独治疗室中进行。我们的Box Hill总部位于墨尔本整形外科中心内，距离Box Hill公立医院仅几步之遥。我们的City中心位于市中心唐人街祥会所内。<br>
<br>
墨尔本医学美肤中心－Box Hill<br>
地址：Level 3, 116-118 Thames St, Box Hill, Victoria, 3128<br>
电话：(03) 9890 5222<br>
电邮：info@estclinic.com.au<br>
网站：www.estclinic.com.au<br>
微信：墨尔本EPS<br>
<br>
墨尔本医学美肤中心－City<br>
地址：Level 3, 206 Bourke St, Melbourne, Victoria, 3000<br>
电话：(03) 9663 0066<br>
电邮：xiang@estclinic.com.au<br><br></p>"
,boxhill@skintechskin.com.au,微信：Skintech Boxhill,03 9899 8554,http://skintechskin.com.au,18 Ellingworth Parade Boxhill VIC 3128,Beauty & Skin,9295,墨尔本美肤 Skintech Boxhill 皮肤医美诊所,03 9899 8554,"<p class=""details""><img src=""Photo_links/Melbourne/9295.jpg"" class=""logo"" width=""105"" alt=""墨尔本美肤 Skintech Boxhill 皮肤医美诊所 Company Logo"">Skintech Boxhill 皮肤医美诊所<br>
<br>
墨尔本权威医美皮肤诊所Skintech， 我们专注于医疗皮肤美容 ——— 首家专为华人服务的医疗机构。团队由一队经验丰富的澳洲注册医美医生，专业护士顾问和定期接受培训和严格考核的皮肤治疗师组成，为您的肌肤量身打造专署的医美计划。<br>
<br>
Skintech Boxhill医美诊所位于繁华的Box Hill Shopping Center附近，新华书店对面的Ellingworth Parade路160米处（步行2分钟）,为您提供安全而高效的无创微塑和激光美容服务。本诊所最知名为它的斑，孔，痘专业皮肤治疗（色素沉着，毛孔和暗疮粉刺还原处理），以及其他主要服务项目如：<br>
<br>
-肉毒杆菌注射（瘦脸，川字纹，抬头纹，眼尾纹，鼻翼纹）<br>
-波尿酸注射 （水光针卧蚕，额头，苹果肌，太阳穴，眉骨，鼻子，下巴，嘴唇，黑眼圈/泪窝，法令纹）*Skintech医美诊所提供专业的微整形注射，操作医生经过了专业的注射培训，拥有三十年的从业经验，手术精准，效果完美。*<br>
-激光永久性脱毛 (Laser Hair Removal)<br>
-激光美容（祛除黄褐斑，痘痘肌，痘印，脸部去红，雀斑，粗大毛孔，激光换肤）<br>
-射频微针Fractional RF (点阵射频微针技术，有效治疗痘痘肌和痘坑)<br>
-LED 光谱美容 （恢复伤口痊愈，美白亮肤，治疗痘痘 (深层清除产生痘痘的细菌P.Acne), 医学级别LED仪器）<br>
-埋线提升瘦脸<br>
-4D无痛镭射瘦脸<br>
-高瑞血小板字体因子PRP注射祛皱（眼部，脸部，胸前，手部，上臂，腹部）<br>
-非手术性溶脂塑身 (Lipolysis)<br>
-微针 (Skin Needling)<br>
-换肤 (Peel)<br>
-治疗性Facial (祛痘/痘印，控油，控制暗疮粉刺，延缓衰老，淡化细纹/斑点)<br>
-容亮电离子除斑  (Lamprobe)<br>
－独家生发治疗 （Hair Regrowth Program）<br>
-医学护肤美容产品代理 (例如：美国DRBC,，美国C’ENSIL，韩国CU SKIN)<br>
<br>
在Skintech我们使用安全和认证的机械设备，力求提供最好及最专业的技术为客户打造完美的医疗计划，让您体验到最完美的医学美容服务。本诊所也为尊敬的客户提供免费咨询，以便客户了解自己的皮肤状况, 从而跟进治疗皮肤。<br>
<br>
Skintech Boxhill医美诊所的专业医生，护士和皮肤治疗师在此欢迎您的光临。如有任何疑问可随时微信或电话咨询我们。本诊也欢迎您加入我们以下的社交门户, 定时更新最新的微整形资讯和医学护肤品信息。欢迎您多多关注！<br>
<br>
微信公众平台：skintechskin<br>
微信：Skintech Boxhill<br>
微博：skintech<br>
Facebook: Box Hill Skintech Skin &amp; Laser Clinic<br>
<br>
营业时间：<br>
星期一 至 星期五： 10:00-18:00<br>
星期六：		 10:00-17:00,<br>
星期日： 		 休息天<br>
<br>
联系方式：<br>
电话：(03) 9899 8554<br>
传真：-<br>
联络：-<br>
地址：Level 2, 16/18 Ellingworth Parade Boxhill VIC 3128<br>
邮件：boxhill@skintechskin.com.au<br>
网站：skintechskin.com.au<br><br></p>"
